Data Table for Daily Case Trends - Washington
Date generated: Tue Nov 30 2021 19:12:41 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
Washington,Mar 12 2021,637,663,2768756
Washington,Mar 11 2021,947,684,2697054
Washington,Mar 10 2021,656,672,2629385
Washington,Mar  9 2021,538,691,2564702
Washington,Mar  8 2021,454,720,2505455
Washington,Mar  7 2021,780,722,2466371
Washington,Mar  6 2021,635,691,2438897
Washington,Mar  5 2021,783,725,2374709
Washington,Mar  4 2021,862,779,2303443
Washington,Mar  3 2021,790,814,2227311
Washington,Mar  2 2021,737,825,2158055
Washington,Mar  1 2021,472,826,2094182
Washington,Feb 28 2021,564,831,2053074
Washington,Feb 27 2021,868,859,2022425
Washington,Feb 26 2021,1164,855,1949116
Washington,Feb 25 2021,1107,827,1872478
Washington,Feb 24 2021,868,835,1797703
Washington,Feb 23 2021,739,849,1736635
Washington,Feb 22 2021,507,826,1689024
Washington,Feb 21 2021,760,817,1666777
Washington,Feb 20 2021,843,827,1650109
Washington,Feb 19 2021,966,825,1616582
Washington,Feb 18 2021,1166,843,1579921
Washington,Feb 17 2021,965,862,1533648
Washington,Feb 16 2021,576,897,1488853
Washington,Feb 15 2021,444,943,1443540
Washington,Feb 14 2021,834,982,1410053
Washington,Feb 13 2021,827,1153,1402527
Washington,Feb 12 2021,1092,1104,1386253
Washington,Feb 11 2021,1297,1161,1336130
Washington,Feb 10 2021,1213,1196,1280468
Washington,Feb  9 2021,897,1238,1232731
Washington,Feb  8 2021,717,1266,1192737
Washington,Feb  7 2021,2029,1287,1162622
Washington,Feb  6 2021,486,1168,1151059
Washington,Feb  5 2021,1492,1357,1116595
Washington,Feb  4 2021,1542,1428,1072483
Washington,Feb  3 2021,1506,1552,1025761
Washington,Feb  2 2021,1096,1571,982415
Washington,Feb  1 2021,859,1603,943665
Washington,Jan 31 2021,1198,1615,911502
Washington,Jan 30 2021,1807,1636,890982
Washington,Jan 29 2021,1992,1627,854122
Washington,Jan 28 2021,2407,1634,811219
Washington,Jan 27 2021,1638,1604,769193
Washington,Jan 26 2021,1325,1640,727390
Washington,Jan 25 2021,943,1648,683856
Washington,Jan 24 2021,1345,1687,652122
Washington,Jan 23 2021,1744,1725,630808
Washington,Jan 22 2021,2042,1763,592720
Washington,Jan 21 2021,2197,1806,547893
Washington,Jan 20 2021,1890,1844,504557
Washington,Jan 19 2021,1379,1959,467291
Washington,Jan 18 2021,1212,2086,436443
Washington,Jan 17 2021,1611,2211,415137
Washington,Jan 16 2021,2010,2374,404561
Washington,Jan 15 2021,2347,2488,381637
Washington,Jan 14 2021,2462,2811,355238
Washington,Jan 13 2021,2695,2914,329134
Washington,Jan 12 2021,2265,2843,304631
Washington,Jan 11 2021,2093,2807,281859
Washington,Jan 10 2021,2750,2777,261632
Washington,Jan  9 2021,2809,2638,252020
Washington,Jan  8 2021,4608,2557,237023
Washington,Jan  7 2021,3179,2501,212862
Washington,Jan  6 2021,2202,2612,191900
Washington,Jan  5 2021,2008,2518,172257
Washington,Jan  4 2021,1889,2539,157487
Washington,Jan  3 2021,1774,2454,143811
Washington,Jan  2 2021,2241,2314,137289
Washington,Jan  1 2021,4217,2137,125779
Washington,Dec 31 2020,3958,1889,123409
Washington,Dec 30 2020,1543,1737,112106
Washington,Dec 29 2020,2155,1840,95729
Washington,Dec 28 2020,1293,1753,79209
Washington,Dec 27 2020,791,1825,67669
Washington,Dec 26 2020,1006,2008,62157
Washington,Dec 25 2020,2483,2194,58906
Washington,Dec 24 2020,2894,2365,58613
Washington,Dec 23 2020,2261,2377,52485
Washington,Dec 22 2020,1543,2283,42822
Washington,Dec 21 2020,1799,2312,35036
Washington,Dec 20 2020,2073,2352,26285
Washington,Dec 19 2020,2310,2387,21947
Washington,Dec 18 2020,3676,2619,15224
Washington,Dec 17 2020,2979,2514,5849
Washington,Dec 16 2020,1602,2516,2067
Washington,Dec 15 2020,1751,2716,64
Washington,Dec 14 2020,2079,3008,0
Washington,Dec 13 2020,2316,3576,0
Washington,Dec 12 2020,3930,3494,N/A
Washington,Dec 11 2020,2944,3205,N/A
Washington,Dec 10 2020,2995,3083,N/A
Washington,Dec  9 2020,3003,2988,N/A
Washington,Dec  8 2020,3789,2996,N/A
Washington,Dec  7 2020,6058,2806,N/A
Washington,Dec  6 2020,1742,2264,N/A
Washington,Dec  5 2020,1910,2316,N/A
Washington,Dec  4 2020,2085,2385,N/A
Washington,Dec  3 2020,2329,2381,N/A
Washington,Dec  2 2020,3065,2459,N/A
Washington,Dec  1 2020,2457,2451,N/A
Washington,Nov 30 2020,2261,2570,N/A
Washington,Nov 29 2020,2108,2755,N/A
Washington,Nov 28 2020,2390,2832,N/A
Washington,Nov 27 2020,2060,2759,N/A
Washington,Nov 26 2020,2873,2776,N/A
Washington,Nov 25 2020,3014,2667,N/A
Washington,Nov 24 2020,3286,2459,N/A
Washington,Nov 23 2020,3556,2361,N/A
Washington,Nov 22 2020,2651,2078,N/A
Washington,Nov 21 2020,1876,2021,N/A
Washington,Nov 20 2020,2182,2083,N/A
Washington,Nov 19 2020,2110,2092,N/A
Washington,Nov 18 2020,1554,2081,N/A
Washington,Nov 17 2020,2600,2096,N/A
Washington,Nov 16 2020,1579,1928,N/A
Washington,Nov 15 2020,2251,1881,N/A
Washington,Nov 14 2020,2311,1766,N/A
Washington,Nov 13 2020,2244,1686,N/A
Washington,Nov 12 2020,2029,1618,N/A
Washington,Nov 11 2020,1664,1489,N/A
Washington,Nov 10 2020,1420,1471,N/A
Washington,Nov  9 2020,1248,1374,N/A
